A,B
1,54632
2,29402
2,54633
3,29331
3,29390
3,29395
4,29395
4,29404
4,29429
5,29431
5,29435
6,29419
7,54635
8,34946
9,34944
9,34946
10,34972
10,34981
11,34944
11,34956
11,34982
12,25220
12,34955
13,34976
13,34979
13,34986
14,34952
14,34958
14,34961
15,29321
15,29436
15,34330
16,29320
16,34676
17,34684
17,34688
17,34954
18,34687
18,34975
19,34672
20,25137
20,34669
21,29302
21,29303
22,29302
23,40413
24,29416
24,29420
25,29412
25,29421
26,28280
26,29414
27,40414
28,29263
29,28276
30,28276
30,28283
30,29380
31,29396
31,29399
32,29345
32,29348
32,50151
33,28284
33,28989
34,28282
34,29006
34,29392
35,28684
35,29263
35,29265
36,28675
36,28992
36,28993
37,28991
37,54629
37,54630
38,40485
39,28675
39,28945
40,40416
41,40415
42,28944
42,28945
43,28951
44,28954
45,28954
45,28977
46,28690
46,28974
47,29249
48,29249
49,40420
50,29243
50,29246
51,40418
51,40419
52,40418
53,29253
54,29231
54,29257
55,29229
56,29237
57,29239
57,29241
58,40428
59,28972
60,28967
60,40429
61,28949
62,28668
62,40740
62,55229
63,28972
64,29239
64,40741
65,4104
65,40741
66,40431
67,19844
68,50738
69,4778
69,4807
70,29126
71,28680
72,29256
73,28680
74,29270
75,40417
76,40421
77,29224
78,29305
79,29223
79,29308
80,29272
80,29279
81,40423
82,29272
82,40422
83,29207
83,29295
83,29296
84,25172
85,25172
86,25137
86,29223
87,40424
88,40425
89,40426
90,40427
91,40427
92,34663
92,34668
93,34647
93,40426
94,34662
94,34663
95,34649
95,40444
96,34653
97,40432
98,5118
98,40432
99,5236
99,29169
100,29210
101,29209
101,34449
101,34453
102,34458
102,34466
103,34463
104,25150
105,25177
105,34653
106,40444
107,34360
107,34659
108,34660
108,40443
109,40443
110,34437
110,34442
111,34575
111,34592
112,34364
112,34575
112,34639
113,34636
113,34639
113,34696
114,34666
114,34698
115,34630
115,34632
116,34718
117,34728
118,34378
118,34391
119,34693
119,34701
120,34367
121,34364
121,34695
122,34625
123,34368
124,34368
124,34885
125,34704
126,34388
126,34707
126,34877
127,34899
128,34877
128,34895
129,34884
129,34887
130,34875
131,34725
132,40484
133,34394
134,34723
135,34716
136,34310
136,54779
137,34942
137,34973
137,35003
138,34310
138,34326
138,34923
139,34327
139,34734
140,35007
140,35159
141,34996
141,35005
141,54636
142,34941
142,34996
143,40366
144,34928
144,35012
145,35152
145,35189
146,34324
146,35191
147,35193
147,40339
148,35180
148,35194
149,35153
149,35181
150,40339
151,34352
151,34906
152,34910
153,34335
153,34918
153,35408
154,35427
155,35432
156,35422
156,35425
157,35420
158,40452
159,34912
160,34323
161,35313
162,35316
163,35263
164,10013
164,40455
165,40454
165,54577
166,34799
166,40454
167,40453
168,34745
169,34850
170,9007
171,34755
172,34763
173,34762
174,8628
174,34762
175,8628
175,8759
176,8759
176,34755
177,8897
177,9038
178,9038
178,34745
179,34796
180,9511
181,34860
181,34862
181,54218
182,34793
182,34860
183,40451
184,34770
184,34772
185,34624
185,40450
186,34577
186,34624
187,34577
187,34579
188,18908
188,34581
189,40445
190,34566
191,54580
192,34568
193,34770
193,34781
194,34594
194,34770
195,34594
195,34621
195,54591
196,34599
196,54588
197,34376
197,34779
198,40511
199,34375
199,34543
200,34376
200,34501
200,34544
201,34528
201,34545
202,40449
203,34521
204,34399
205,34399
205,40447
206,40446
207,40445
207,50474
208,7070
208,7271
209,34477
210,6888
210,18908
211,34434
211,40448
212,40503
213,34407
214,34407
215,6423
215,34469
216,6423
216,34475
217,34439
217,34478
218,40441
219,40441
219,40442
220,40442
221,40505
222,40506
223,25171
224,5597
224,5694
225,5439
225,5597
226,40440
227,40433
228,40434
229,40435
230,40437
231,40433
231,40436
232,40438
233,29202
233,40439
234,40439
235,29198
235,29205
236,5694
236,5807
237,5697
238,5697
239,40504
240,5848
241,34410
242,40497
243,34427
244,40502
245,7043
245,40501
246,40500
247,40501
248,40508
249,40510
250,34515
251,34483
252,40499
253,34510
254,7141
254,40502
255,40498
256,34421
257,7336
258,7615
258,34513
259,7621
260,34396
261,31176
262,7626
263,31581
264,31176
265,7627
266,7650
267,54366
268,31399
269,6837
270,31334
271,40695
272,40696
273,54363
274,31553
274,31580
275,31553
275,31566
276,7277
277,31565
277,40523
278,7277
279,31391
279,31397
280,31391
281,40694
282,31389
283,7279
283,31177
284,19118
285,25746
285,54694
286,25699
286,25769
287,25770
287,25789
287,54696
288,25794
288,54695
289,25774
289,25787
290,40273
291,40272
291,40273
292,25819
292,40275
293,26332
293,26335
294,26330
295,40274
296,40269
296,40274
297,40269
298,40271
299,25776
300,25755
301,25728
302,25728
303,25761
303,25767
303,54733
304,25747
304,25776
305,25747
306,25759
306,40260
307,40260
308,25648
309,25575
310,40265
311,25640
312,25630
313,25626
313,25630
314,25629
314,54709
315,25675
316,25684
317,40263
318,25323
318,26288
319,25775
319,26292
320,40267
320,40270
321,40267
322,40268
323,26291
323,26296
324,26309
325,40266
326,26375
326,26377
327,26380
327,26383
328,26048
329,26047
