N,X,Y
1,462454.75593,5027410.34546
2,468423.04536,5028244.25184
3,466398.76845,5026810.78313
4,469460.32075,5026485.37424
5,470697.73282,5026840.46621
6,471583.92885,5026812.37126
7,473559.49229,5027329.66092
8,477272.02067,5028147.37343
9,477263.91223,5026542.36678
10,478413.0923,5024938.19219
11,476207.1303,5024940.16754
12,473788.06454,5024966.15161
13,478395.48921,5023341.90299
14,476307.06609,5023248.41981
15,473948.72938,5022152.80747
16,473973.42055,5019334.55086
17,476472.64578,5020388.19526
18,478443.07269,5020726.46676
19,477608.18731,5017361.30133
20,474383.4264,5017323.3555
21,471684.29992,5017536.07178
22,472096.37072,5020136.99346
23,472227.28833,5023545.57801
24,471220.17458,5022433.7547
25,470260.84704,5024557.76354
26,470117.38265,5021403.14123
27,470162.31443,5017968.26337
28,468858.03346,5017677.79666
29,469178.72007,5021002.43726
30,468337.80018,5022772.50649
31,465894.31256,5024961.25742
32,462038.03658,5024790.39884
33,461605.07531,5021522.02365
34,465278.76518,5021847.73538
35,466092.2248,5018066.90625
36,463084.9417,5017314.32109
37,461206.92309,5018167.93995
38,460649.09739,5014451.58409
39,462880.04506,5015528.60495
40,466266.30639,5015582.60186
41,469070.35976,5015545.04508
42,463305.71418,5014231.46692
43,460865.97038,5012022.961
44,462467.06644,5011912.01132
45,463415.41468,5012320.99312
46,464702.99606,5012651.16175
47,466457.27014,5014100.18698
48,466448.57373,5012907.65512
49,467808.83361,5013538.34766
50,465900.18527,5011307.64425
51,467220.17521,5011576.4111
52,468748.27155,5011327.68785
53,469033.13541,5009715.08411
54,468091.35775,5009875.69272
55,467489.95087,5008690.30611
56,467013.61279,5009905.55549
57,465613.25189,5009797.09282
58,463924.93493,5010463.86411
59,463966.02414,5009686.47473
60,462521.75167,5009989.18182
61,461146.86211,5010378.253
62,462115.05799,5008990.89132
63,463963.71517,5009043.68042
64,465399.77793,5008493.36903
65,465214.75682,5007613.4083
66,466682.00171,5007770.01129
67,467477.19492,5007577.0277
68,467363.03184,5006312.13099
69,468428.9101,5005132.241
70,469106.93667,5005568.77031
71,468473.42515,5006587.52772
72,468579.27488,5007520.57128
73,469320.09066,5007183.79988
74,469776.50742,5009282.85782
75,469610.42786,5012126.78641
76,468902.85841,5014083.79416
77,470420.74434,5013697.29081
78,471386.13897,5015179.88494
79,472392.72074,5014937.37469
80,471448.27959,5012385.70745
81,472400.53713,5012543.92737
82,471498.05153,5009796.07083
83,473311.80909,5008290.55972
84,474198.29169,5010672.57921
85,473598.39247,5012949.34854
86,473595.98533,5014910.42839
87,475205.08784,5014157.65275
88,476736.09003,5014907.94924
89,476800.95795,5012940.79152
90,478243.48765,5014723.84176
91,478572.09116,5012896.88208
92,478424.1754,5011775.57061
93,476665.05874,5011413.08177
94,478492.55003,5010239.5829
95,477021.84261,5009824.09671
96,475575.85111,5009565.94112
97,469906.21404,5007129.59618
98,471040.44555,5006884.73269
99,472509.07942,5006510.11
100,473615.8741,5006264.292
101,474519.6593,5005671.27502
102,475451.48019,5005785.92408
103,475041.77106,5006837.50554
104,475274.90342,5007205.46848
105,475130.1911,5008054.40422
106,476903.53541,5008600.93242
107,476932.67292,5007925.74349
108,478539.96499,5008108.24711
109,477575.70573,5006968.22843
110,477521.92522,5005699.33294
111,480362.2939,5006888.43447
112,480426.35396,5008221.16419
113,480357.79872,5010244.57588
114,480437.604,5011928.00151
115,480445.58651,5013679.36181
116,480321.57063,5015440.51283
117,482864.33843,5015346.6195
118,483291.29151,5013554.29594
119,482835.56608,5011538.42871
120,482340.56905,5009769.97959
121,482420.87646,5008205.48257
122,482388.1165,5006877.11135
123,485416.03971,5007131.84283
124,484359.02808,5008144.91036
125,484154.10028,5009388.56101
126,484846.73552,5011113.52595
127,486552.02463,5013319.41018
128,486804.32704,5011081.936
129,486433.05857,5008845.35573
130,488194.42558,5009737.97252
131,486429.66589,5015132.60283
132,488017.71447,5016852.43318
133,485847.84199,5017418.79321
134,482592.63544,5017286.04485
135,480371.79987,5017288.45055
136,480324.50582,5020519.3924
137,480333.92886,5023349.29407
138,483220.49841,5021393.89586
139,486756.68495,5020824.25822
140,486631.47607,5024604.64909
141,482793.98448,5025508.71691
142,480418.21301,5025726.67999
143,480553.79898,5028159.78366
144,485603.06139,5027484.66751
145,490526.12188,5027278.42976
146,495210.84409,5027369.25043
147,496306.04893,5024109.27051
148,492556.58664,5024959.03894
149,490014.13845,5023656.33442
150,493620.56387,5020950.5904
151,493637.68423,5016996.57756
152,491203.05904,5012921.49331
153,495212.46946,5013387.79665
154,497159.04565,5012416.13532
155,498068.46436,5008436.50308
156,496920.26488,5008653.1866
157,495410.86564,5008994.09293
158,493891.0571,5008025.31687
159,491221.03215,5008901.81714
160,494352.24497,5005570.54974
161,496247.92985,5003470.79888
162,498037.92019,5003749.49566
163,497652.13936,4998482.48245
164,496406.71411,4999291.35298
165,494288.27954,4997873.89079
166,493757.46702,5000247.29054
167,492645.33362,5002405.46687
168,490729.65891,4999988.53525
169,491632.93199,4997890.27235
170,489237.10078,4997638.88131
171,488715.23226,4998947.37983
172,487701.47034,4997700.99779
173,486414.20871,4997417.32606
174,485886.05517,4998164.41249
175,486552.5711,4999419.68159
176,487846.94362,4999539.39288
177,488062.55811,5000647.50385
178,489673.09997,5001235.27362
179,489730.70787,5002611.16464
180,492616.8174,5004132.2973
181,491048.28052,5004110.88264
182,489590.04796,5003991.08254
183,490613.48765,5005618.08309
184,487977.53414,5003840.69996
185,485031.18757,5005642.40488
186,482213.21033,5005704.23592
187,480347.55771,5005681.62572
