link_id,updated_assign_group,updated_roadway_category
381080,15,0
381082,15,0
381121,15,0
381127,15,0
381129,15,0
381137,15,0
381138,15,0
381145,15,0
381168,15,0
381169,15,0
381171,15,0
381172,15,0
381220,15,0
381298,15,0
381310,15,0
381312,15,0
381313,15,0
381314,15,0
381318,15,0
381322,15,0
381330,15,0
381341,15,0
381347,15,0
381348,15,0
381354,15,0
381389,15,0
381390,15,0
381417,15,0
381455,15,0
381481,15,0
381489,15,0
381501,15,0
381504,15,0
381509,15,0
381511,15,0
381670,15,0
381734,15,0
381746,15,0
381748,15,0
381755,15,0
381763,15,0
381834,15,0
381987,15,0
382015,15,0
382046,15,0
382048,15,0
382049,15,0
382051,15,0
382075,15,0
382084,15,0
382086,15,0
382133,15,0
382140,15,0
382143,15,0
382240,15,0
382343,15,0
382379,15,0
382383,15,0
382388,15,0
382457,15,0
382462,15,0
382481,15,0
382726,15,0
382727,15,0
382793,15,0
382882,15,0
382885,15,0
382886,15,0
382895,15,0
382896,15,0
382907,15,0
382963,15,0
382980,15,0
383047,15,0
383048,15,0
383049,15,0
383050,15,0
383052,15,0
383056,15,0
383059,15,0
383077,15,0
383090,15,0
383137,15,0
383209,15,0
383333,15,0
383339,15,0
383349,15,0
383377,15,0
383390,15,0
383395,15,0
383398,15,0
383428,15,0
383447,15,0
383448,15,0
383466,15,0
383469,15,0
383487,15,0
383488,15,0
383508,15,0
383526,15,0
383527,15,0
383528,15,0
383530,15,0
383558,15,0
383566,15,0
383591,15,0
383618,15,0
383636,15,0
383638,15,0
383642,15,0
383669,15,0
383673,15,0
383675,15,0
383677,15,0
383679,15,0
383694,15,0
383704,15,0
383728,15,0
383731,15,0
383732,15,0
383738,15,0
383743,15,0
383744,15,0
383774,15,0
383783,15,0
383806,15,0
383807,15,0
383808,15,0
383829,15,0
383862,15,0
383864,15,0
383865,15,0
383869,15,0
383875,15,0
383950,15,0
383953,15,0
383956,15,0
383966,15,0
383968,15,0
383970,15,0
383973,15,0
383987,15,0
384002,15,0
384032,15,0
384042,15,0
384054,15,0
384064,15,0
384065,15,0
384070,15,0
384091,15,0
384130,15,0
384189,15,0
384215,15,0
384217,15,0
384227,15,0
384234,15,0
384267,15,0
384272,15,0
384292,15,0
384293,15,0
384299,15,0
384333,15,0
384360,15,0
384447,15,0
384457,15,0
384479,15,0
384492,15,0
384537,15,0
384546,15,0
384574,15,0
384575,15,0
384576,15,0
384580,15,0
384601,15,0
384673,15,0
384678,15,0
384730,15,0
384779,15,0
384795,15,0
384814,15,0
384838,15,0
384843,15,0
384846,15,0
384848,15,0
384850,15,0
384853,15,0
384855,15,0
384893,15,0
384894,15,0
385097,15,0
385198,15,0
385201,15,0
385205,15,0
385275,15,0
385286,15,0
385298,15,0
385326,15,0
385332,15,0
385389,15,0
385417,15,0
385418,15,0
385532,15,0
385584,15,0
385601,15,0
385643,15,0
385723,15,0
385758,15,0
385761,15,0
385773,15,0
385866,15,0
385870,15,0
385998,15,0
386002,15,0
386003,15,0
386004,15,0
386039,15,0
386052,15,0
386293,15,0
386294,15,0
386363,15,0
386419,15,0
386425,15,0
386502,15,0
386504,15,0
386507,15,0
386508,15,0
386510,15,0
386514,15,0
386519,15,0
386520,15,0
386522,15,0
386524,15,0
386525,15,0
386526,15,0
386529,15,0
386530,15,0
386532,15,0
386534,15,0
386535,15,0
386622,15,0
386641,15,0
386769,15,0
386770,15,0
386773,15,0
386774,15,0
386817,15,0
386820,15,0
386822,15,0
386824,15,0
386963,15,0
387055,15,0
387201,15,0
387245,15,0
387264,15,0
387274,15,0
387310,15,0
387338,15,0
387503,15,0
387504,15,0
387594,15,0
387636,15,0
387655,15,0
387699,15,0
387709,15,0
387722,15,0
387792,15,0
387824,15,0
387825,15,0
387846,15,0
387867,15,0
387983,15,0
387989,15,0
387991,15,0
387992,15,0
387997,15,0
388042,15,0
388061,15,0
388198,15,0
388214,15,0
388234,15,0
388241,15,0
388308,15,0
388325,15,0
388329,15,0
388345,15,0
388351,15,0
388354,15,0
388441,15,0
388461,15,0
388465,15,0
388467,15,0
388506,15,0
388507,15,0
388541,15,0
388567,15,0
388568,15,0
388569,15,0
388591,15,0
388597,15,0
388608,15,0
388611,15,0
388613,15,0
388620,15,0
388621,15,0
388641,15,0
388643,15,0
388687,15,0
388728,15,0
388730,15,0
388736,15,0
388737,15,0
388762,15,0
388763,15,0
388922,15,0
389021,15,0
389029,15,0
389060,15,0
389187,15,0
389198,15,0
389221,15,0
389222,15,0
389253,15,0
389256,15,0
389289,15,0
389292,15,0
389405,15,0
389423,15,0
389427,15,0
389430,15,0
389452,15,0
389484,15,0
389525,15,0
389527,15,0
389540,15,0
389633,15,0
389873,15,0
389931,15,0
389951,15,0
389986,15,0
389989,15,0
390026,15,0
390027,15,0
390030,15,0
390049,15,0
390053,15,0
390056,15,0
390060,15,0
390074,15,0
390075,15,0
390120,15,0
390133,15,0
390135,15,0
390152,15,0
390160,15,0
390171,15,0
390188,15,0
390190,15,0
390212,15,0
390214,15,0
390235,15,0
390242,15,0
390246,15,0
390248,15,0
390275,15,0
390326,15,0
390329,15,0
390345,15,0
390346,15,0
390349,15,0
390365,15,0
390408,15,0
390413,15,0
390424,15,0
390432,15,0
390433,15,0
390436,15,0
390446,15,0
390449,15,0
390451,15,0
390454,15,0
390460,15,0
390486,15,0
390527,15,0
390531,15,0
390536,15,0
390537,15,0
390538,15,0
390540,15,0
390542,15,0
390543,15,0
390546,15,0
390547,15,0
390565,15,0
390567,15,0
390599,15,0
390600,15,0
390602,15,0
390603,15,0
390620,15,0
390624,15,0
390625,15,0
390654,15,0
390687,15,0
390764,15,0
390782,15,0
390861,15,0
390876,15,0
390877,15,0
390880,15,0
390897,15,0
390907,15,0
390911,15,0
390914,15,0
390922,15,0
390938,15,0
391005,15,0
391043,15,0
391049,15,0
391050,15,0
391069,15,0
391075,15,0
391098,15,0
391099,15,0
391104,15,0
391114,15,0
391142,15,0
391153,15,0
391157,15,0
391158,15,0
391160,15,0
391162,15,0
391165,15,0
391187,15,0
391190,15,0
391191,15,0
391192,15,0
391198,15,0
391202,15,0
391226,15,0
391228,15,0
391243,15,0
391244,15,0
391245,15,0
391248,15,0
391249,15,0
391255,15,0
391259,15,0
391260,15,0
391268,15,0
