agency_raw_name,trip_id,tod,direction_id,trip_num_for_shape,trip_num_total,trip_num_N_most,headway_secs,start_time,end_time
MT2019,15243856-AUG19-MVS-BUS-Weekday-01,pk,0,18,18,18,600,06:00:00,09:00:00
MT2019,15243874-AUG19-MVS-BUS-Weekday-01,op,0,36,36,36,600,09:00:00,15:00:00
MT2019,15243956-AUG19-MVS-BUS-Weekday-01,pk,1,17,17,17,635,06:00:00,09:00:00
MT2019,15243970-AUG19-MVS-BUS-Weekday-01,op,1,36,36,36,600,09:00:00,15:00:00
MT2019,15244077-AUG19-MVS-BUS-Weekday-01,op,0,6,12,12,3600,09:00:00,15:00:00
MT2019,15244081-AUG19-MVS-BUS-Weekday-01,pk,0,6,9,8,1600,06:00:00,09:00:00
MT2019,15244083-AUG19-MVS-BUS-Weekday-01,op,0,6,12,12,3600,09:00:00,15:00:00
MT2019,15244113-AUG19-MVS-BUS-Weekday-01,pk,1,6,8,8,1800,06:00:00,09:00:00
MT2019,15244117-AUG19-MVS-BUS-Weekday-01,op,1,6,12,12,3600,09:00:00,15:00:00
MT2019,15244121-AUG19-MVS-BUS-Weekday-01,pk,1,2,8,8,5400,06:00:00,09:00:00
MT2019,15244122-AUG19-MVS-BUS-Weekday-01,op,1,6,12,12,3600,09:00:00,15:00:00
MT2019,15244158-AUG19-MVS-BUS-Weekday-01,pk,0,2,9,8,4800,06:00:00,09:00:00
MT2019,15244191-AUG19-MVS-BUS-Weekday-01,pk,1,5,5,5,2160,06:00:00,09:00:00
MT2019,15244221-AUG19-MVS-BUS-Weekday-01,pk,0,3,19,7,1326,06:00:00,09:00:00
MT2019,15244231-AUG19-MVS-BUS-Weekday-01,op,0,10,25,16,1382,09:00:00,15:00:00
MT2019,15244241-AUG19-MVS-BUS-Weekday-01,pk,0,4,19,7,994,06:00:00,09:00:00
MT2019,15244245-AUG19-MVS-BUS-Weekday-01,op,0,6,25,16,2304,09:00:00,15:00:00
MT2019,15244284-AUG19-MVS-BUS-Weekday-01,op,1,12,25,18,1296,09:00:00,15:00:00
MT2019,15244291-AUG19-MVS-BUS-Weekday-01,pk,1,5,10,9,1944,06:00:00,09:00:00
MT2019,15244296-AUG19-MVS-BUS-Weekday-01,op,1,6,25,18,2592,09:00:00,15:00:00
MT2019,15244298-AUG19-MVS-BUS-Weekday-01,pk,1,4,10,9,2430,06:00:00,09:00:00
MT2019,15244470-AUG19-MVS-BUS-Weekday-01,pk,1,3,3,3,3600,06:00:00,09:00:00
MT2019,15244476-AUG19-MVS-BUS-Weekday-01,pk,0,8,12,12,1350,06:00:00,09:00:00
MT2019,15244479-AUG19-MVS-BUS-Weekday-01,pk,0,4,12,12,2700,06:00:00,09:00:00
MT2019,15244485-AUG19-MVS-BUS-Weekday-01,op,0,12,24,24,1800,09:00:00,15:00:00
MT2019,15244523-AUG19-MVS-BUS-Weekday-01,pk,1,4,13,9,1869,06:00:00,09:00:00
MT2019,15244525-AUG19-MVS-BUS-Weekday-01,pk,1,5,13,9,1495,06:00:00,09:00:00
MT2019,15244532-AUG19-MVS-BUS-Weekday-01,op,1,12,24,24,1800,09:00:00,15:00:00
MT2019,15244539-AUG19-MVS-BUS-Weekday-01,op,1,12,24,24,1800,09:00:00,15:00:00
MT2019,15244570-AUG19-MVS-BUS-Weekday-01,op,0,12,24,24,1800,09:00:00,15:00:00
MT2019,15244604-AUG19-MVS-BUS-Weekday-01,op,0,2,2,2,10800,09:00:00,15:00:00
MT2019,15244624-AUG19-MVS-BUS-Weekday-01,pk,1,15,15,15,720,06:00:00,09:00:00
MT2019,15244639-AUG19-MVS-BUS-Weekday-01,op,1,1,1,1,21600,09:00:00,15:00:00
MT2019,15244647-AUG19-MVS-BUS-Weekday-01,pk,1,5,7,6,1851,06:00:00,09:00:00
MT2019,15244659-AUG19-MVS-BUS-Weekday-01,op,0,2,3,3,10800,09:00:00,15:00:00
MT2019,15244660-AUG19-MVS-BUS-Weekday-01,op,1,2,3,3,10800,09:00:00,15:00:00
MT2019,15244663-AUG19-MVS-BUS-Weekday-01,op,1,1,3,3,21600,09:00:00,15:00:00
MT2019,15244665-AUG19-MVS-BUS-Weekday-01,pk,1,1,7,6,9257,06:00:00,09:00:00
