trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,agency_raw_name,stop_distance,stop_is_skipped
15243856-AUG19-MVS-BUS-Weekday-01,00:00:00,00:00:00,17894,1,1,1,1,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:01:00,00:01:00,17897,2,0,0,1,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:03:00,00:03:00,17900,3,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:05:00,00:05:00,17902,4,0,0,1,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:06:00,00:06:00,17903,5,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:09:00,00:09:00,17856,6,0,0,1,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:10:00,00:10:00,17853,7,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:11:00,00:11:00,17848,8,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:12:00,00:12:00,17840,9,0,0,1,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:14:00,00:14:00,56421,10,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:15:00,00:15:00,56420,11,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:16:00,00:16:00,52671,12,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:17:00,00:17:00,11099,13,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:18:00,00:18:00,56401,14,0,0,1,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:19:00,00:19:00,56399,15,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:20:00,00:20:00,9673,16,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:22:00,00:22:00,56527,17,0,0,1,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:26:00,00:26:00,9263,18,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:28:00,00:28:00,9089,19,0,0,0,MT2019,,
15243856-AUG19-MVS-BUS-Weekday-01,00:30:00,00:30:00,56826,20,1,0,1,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:00:00,00:00:00,17894,1,1,1,1,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:01:00,00:01:00,17897,2,0,0,1,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:03:00,00:03:00,17900,3,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:06:00,00:06:00,17902,4,0,0,1,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:07:00,00:07:00,17903,5,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:10:00,00:10:00,17856,6,0,0,1,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:11:00,00:11:00,17853,7,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:12:00,00:12:00,17848,8,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:14:00,00:14:00,17840,9,0,0,1,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:16:00,00:16:00,56421,10,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:18:00,00:18:00,56420,11,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:19:00,00:19:00,52671,12,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:20:00,00:20:00,11099,13,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:21:00,00:21:00,56401,14,0,0,1,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:22:00,00:22:00,56399,15,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:23:00,00:23:00,9673,16,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:25:00,00:25:00,56527,17,0,0,1,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:29:00,00:29:00,9263,18,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:31:00,00:31:00,9089,19,0,0,0,MT2019,,
15243874-AUG19-MVS-BUS-Weekday-01,00:33:00,00:33:00,56826,20,1,0,1,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:00:00,00:01:00,56826,1,0,0,1,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:02:00,00:02:00,9087,2,0,0,0,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:05:00,00:05:00,9173,3,0,0,0,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:10:00,00:10:00,56528,4,0,0,1,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:12:00,00:12:00,9674,5,0,0,0,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:13:00,00:13:00,56400,6,0,0,0,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:14:00,00:14:00,56834,7,0,0,1,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:15:00,00:15:00,11098,8,0,0,0,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:16:00,00:16:00,52664,9,0,0,0,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:18:00,00:18:00,52667,10,0,0,0,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:19:00,00:19:00,56422,11,0,0,0,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:21:00,00:21:00,17839,12,0,0,1,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:23:00,00:23:00,17847,13,0,0,0,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:24:00,00:24:00,17852,14,0,0,0,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:25:00,00:25:00,56317,15,0,0,1,MT2019,,
15243956-AUG19-MVS-BUS-Weekday-01,00:28:00,00:28:00,80009,16,0,0,0,MT2019,,
