;Cost - Cents per minute saved
;	work1	work2	work3	work4	work5	nwork1 	 nwork2  nwork3	 nwork4	 nwork5
 0.00	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100  ; % trips without a toll that can use MnPass
 0.01	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100  ; % trips without a toll that can use MnPass
 0.02	 95 	 95 	 95 	 95 	 95 	 95 	 95 	 95 	 95 	 95 
 8.00 	 50.0 	 50.0 	 50.0 	 50.0 	 50.0 	 50.0 	 50.0 	 50.0 	 50.0 	 50.0 
 10.00 	 40.0 	 40.0 	 40.0 	 40.0 	 40.0 	 40.0 	 40.0 	 40.0 	 40.0 	 40.0 
 16.30 	 25.0 	 25.0 	 25.0 	 25.0 	 25.0 	 25.0 	 25.0 	 25.0 	 25.0 	 25.0 
 20.00 	 18.3 	 18.3 	 18.3 	 18.3 	 18.3 	 18.3 	 18.3 	 18.3 	 18.3 	 18.3 
 23.70 	 15.0 	 15.0 	 15.0 	 15.0 	 15.0 	 15.0 	 15.0 	 15.0 	 15.0 	 15.0 
 31.40 	 9.5 	 9.5 	 9.5 	 9.5 	 9.5 	 9.5 	 9.5 	 9.5 	 9.5 	 9.5 
 41.70 	 5.0 	 5.0 	 5.0 	 5.0 	 5.0 	 5.0 	 5.0 	 5.0 	 5.0 	 5.0 
 51.80 	 4.0 	 4.0 	 4.0 	 4.0 	 4.0 	 4.0 	 4.0 	 4.0 	 4.0 	 4.0 
 58.30 	 2.0 	 2.0 	 2.0 	 2.0 	 2.0 	 2.0 	 2.0 	 2.0 	 2.0 	 2.0 
 66.70 	 1.2 	 1.2 	 1.2 	 1.2 	 1.2 	 1.2 	 1.2 	 1.2 	 1.2 	 1.2 
