;ZONE	EE	EI	IE	EI_DA	EI_S2	EI_S3	IE_DA	IE_S2	IE_S3
3031	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3032	1.12	41.54	57.34	19.70	4.42	17.42	33.31	6.90	17.13
3033	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3034	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3035	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3036	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3037	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3038	1.12	41.54	57.34	19.70	4.42	17.42	33.31	6.90	17.13
3039	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3040	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3041	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3042	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3043	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3044	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3045	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3046	1.12	41.54	57.34	19.70	4.42	17.42	33.31	6.90	17.13
3047	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3048	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3049	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3050	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3051	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3052	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3053	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3054	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3055	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3056	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3057	1.12	41.54	57.34	19.70	4.42	17.42	33.31	6.90	17.13
3058	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3059	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3060	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
3061	0.00	42.10	57.90	19.96	4.48	17.66	33.64	6.96	17.30
