TAZ,District,Sch1TAZs,Sch2TAZs,Sch3TAZs,wSch1,wSch2,wSch3
1,15,3,2,1,0,0,0
2,15,3,2,1,0,0,0
3,15,3,2,1,0,0,0
4,15,3,2,1,0,0,0
5,15,3,2,1,0,0,0
6,15,3,2,1,1,1,0
7,15,3,2,1,0,1,1
8,15,3,2,1,0,0,0
9,15,3,2,1,0,0,0
10,15,3,2,1,0,0,0
11,15,3,2,1,0,0,0
12,15,3,2,1,0,0,0
13,15,3,2,1,0,0,0
14,15,3,2,1,0,0,0
15,15,3,2,1,0,0,0
16,15,3,2,1,0,0,0
17,15,3,2,1,0,0,0
18,15,3,2,1,0,0,0
19,15,3,2,1,0,0,0
20,15,3,2,1,0,0,0
21,15,3,2,1,0,0,0
22,15,3,2,1,0,0,0
23,15,3,2,1,0,0,0
24,15,3,2,1,0,0,0
25,15,3,2,1,0,0,0
26,15,3,2,1,0,0,0
27,11,26,14,11,0,0,0
28,11,26,14,11,0,0,0
29,15,3,2,1,0,0,0
30,15,3,2,1,0,0,0
31,15,3,2,1,0,0,0
32,728,7,6,4,0,0,0
33,728,7,6,4,0,0,0
34,15,3,2,1,0,0,0
35,11,26,14,11,0,0,0
36,728,7,6,4,0,0,0
37,728,7,6,4,0,0,0
38,728,7,6,4,0,0,0
39,728,7,6,4,0,0,0
40,11,26,14,11,0,0,0
41,11,26,14,11,0,0,0
42,728,7,6,4,0,0,0
43,11,26,14,11,0,0,0
44,11,26,14,11,0,0,0
45,11,26,14,11,0,0,0
46,11,26,14,11,0,0,0
47,11,26,14,11,0,0,0
48,11,26,14,11,0,0,0
49,11,26,14,11,0,0,0
50,11,26,14,11,0,0,0
51,11,26,14,11,0,0,0
52,11,26,14,11,0,0,0
53,11,26,14,11,0,0,0
54,11,26,14,11,0,0,0
55,11,26,14,11,0,0,0
56,11,26,14,11,1,0,0
57,11,26,14,11,0,0,0
58,11,26,14,11,0,0,0
59,11,26,14,11,0,0,0
60,11,26,14,11,0,0,0
61,11,26,14,11,0,0,0
62,11,26,14,11,0,0,0
63,11,26,14,11,1,1,1
64,11,26,14,11,0,0,0
65,11,26,14,11,0,0,0
66,11,26,14,11,0,0,0
67,11,26,14,11,0,0,0
68,11,26,14,11,0,0,0
69,11,26,14,11,0,0,0
70,11,26,14,11,1,0,0
71,11,26,14,11,0,0,0
72,11,26,14,11,0,0,0
73,11,26,14,11,1,0,0
74,11,26,14,11,0,0,0
75,11,26,14,11,0,0,0
76,11,26,14,11,0,0,0
77,11,26,14,11,0,0,0
78,15,3,2,1,0,0,0
79,15,3,2,1,0,0,0
80,11,26,14,11,0,0,0
81,11,26,14,11,0,0,0
82,11,26,14,11,0,0,0
83,11,26,14,11,1,0,0
84,11,26,14,11,0,1,1
85,11,26,14,11,0,0,0
86,15,3,2,1,1,0,0
87,11,26,14,11,0,0,0
88,15,3,2,1,0,0,0
89,11,26,14,11,0,0,0
90,15,3,2,1,0,0,0
91,11,26,14,11,0,0,0
92,11,26,14,11,0,0,0
93,11,26,14,11,0,0,0
94,11,26,14,11,0,0,0
95,11,26,14,11,0,0,0
96,11,26,14,11,1,0,0
97,11,26,14,11,0,1,1
98,11,26,14,11,1,0,0
99,11,26,14,11,0,0,0
100,11,26,14,11,0,0,0
101,11,26,14,11,0,0,0
102,11,26,14,11,0,0,0
103,11,26,14,11,0,0,0
104,11,26,14,11,0,0,0
105,11,26,14,11,0,0,0
106,11,26,14,11,0,0,0
107,11,26,14,11,0,0,0
108,11,26,14,11,0,0,0
109,11,26,14,11,0,0,0
110,11,26,14,11,0,0,0
111,11,26,14,11,0,0,0
112,11,26,14,11,0,0,0
113,11,26,14,11,0,0,0
114,11,26,14,11,0,0,0
115,11,26,14,11,0,0,0
116,11,26,14,11,0,0,0
117,11,26,14,11,0,0,0
118,11,26,14,11,0,0,0
119,11,26,14,11,1,0,0
120,11,26,14,11,0,0,0
121,11,26,14,11,0,0,0
122,11,26,14,11,0,0,0
123,11,26,14,11,0,0,0
124,11,26,14,11,0,0,0
125,11,26,14,11,0,0,0
126,11,26,14,11,0,0,0
127,11,26,14,11,0,0,0
128,11,26,14,11,0,0,0
129,11,26,14,11,0,0,0
130,11,26,14,11,0,0,0
131,11,26,14,11,0,0,0
132,831,10,3,1,0,0,0
133,15,3,2,1,0,0,0
134,15,3,2,1,0,0,0
135,15,3,2,1,0,0,0
136,15,3,2,1,1,0,0
137,15,3,2,1,0,0,0
138,15,3,2,1,0,0,0
139,15,3,2,1,0,0,0
140,15,3,2,1,0,0,0
141,15,3,2,1,0,0,0
142,15,3,2,1,0,0,0
143,15,3,2,1,0,0,0
144,15,3,2,1,0,0,0
145,831,10,3,1,0,0,0
146,831,10,3,1,0,0,0
147,831,10,3,1,0,0,0
148,831,10,3,1,0,0,0
149,831,10,3,1,1,0,0
150,831,10,3,1,0,0,0
151,831,10,3,1,0,0,0
152,831,10,3,1,0,0,0
153,831,10,3,1,1,0,0
154,831,10,3,1,0,0,0
155,831,10,3,1,0,0,0
156,831,10,3,1,0,0,0
157,831,10,3,1,0,0,0
158,831,10,3,1,0,0,0
159,831,10,3,1,0,0,0
160,831,10,3,1,0,0,0
161,831,10,3,1,1,0,0
162,831,10,3,1,0,0,0
163,624,8,5,4,0,0,0
164,12,4,2,1,0,0,0
165,12,4,2,1,0,0,0
166,12,4,2,1,0,0,0
167,12,4,2,1,0,0,0
168,12,4,2,1,1,0,0
169,12,4,2,1,0,0,0
170,12,4,2,1,0,0,0
171,12,4,2,1,0,0,0
172,12,4,2,1,1,0,0
173,12,4,2,1,0,0,0
174,12,4,2,1,0,0,0
175,12,4,2,1,0,0,0
176,12,4,2,1,0,0,0
177,12,4,2,1,1,1,1
178,12,4,2,1,1,1,0
179,12,4,2,1,0,0,0
180,831,10,3,1,0,0,0
181,831,10,3,1,0,0,0
182,12,4,2,1,0,0,0
183,831,10,3,1,1,0,0
184,12,4,2,1,0,0,0
185,11,26,14,11,0,0,0
186,11,26,14,11,0,0,0
187,11,26,14,11,1,1,1
188,11,26,14,11,0,0,0
189,11,26,14,11,0,0,0
190,11,26,14,11,0,0,0
191,16,5,3,2,1,0,0
192,16,5,3,2,0,0,0
193,16,5,3,2,0,0,0
194,16,5,3,2,0,0,0
195,16,5,3,2,0,0,0
196,11,26,14,11,0,0,0
197,16,5,3,2,0,0,0
198,12,4,2,1,0,0,0
199,16,5,3,2,0,0,0
200,16,5,3,2,0,0,0
201,16,5,3,2,0,0,0
202,16,5,3,2,0,0,0
203,16,5,3,2,0,0,0
204,16,5,3,2,1,0,0
205,11,26,14,11,1,0,0
206,11,26,14,11,0,0,0
207,11,26,14,11,1,0,0
208,11,26,14,11,0,0,0
209,11,26,14,11,0,0,0
210,11,26,14,11,1,1,0
211,11,26,14,11,0,0,0
212,11,26,14,11,0,0,0
213,11,26,14,11,0,0,0
214,11,26,14,11,0,0,0
215,11,26,14,11,0,0,0
216,11,26,14,11,0,0,0
217,11,26,14,11,1,0,0
218,11,26,14,11,0,0,0
219,11,26,14,11,0,0,0
220,11,26,14,11,0,0,0
221,11,26,14,11,1,0,0
222,11,26,14,11,0,1,1
223,11,26,14,11,0,0,0
224,11,26,14,11,1,0,0
225,11,26,14,11,0,0,0
226,11,26,14,11,0,0,0
227,11,26,14,11,1,1,0
228,11,26,14,11,0,0,0
229,11,26,14,11,1,0,0
230,11,26,14,11,0,0,0
231,11,26,14,11,0,0,0
232,11,26,14,11,0,0,0
233,11,26,14,11,0,0,0
234,11,26,14,11,0,0,0
235,11,26,14,11,0,0,0
236,11,26,14,11,0,1,1
237,11,26,14,11,1,0,0
238,11,26,14,11,1,0,0
239,11,26,14,11,0,1,1
240,11,26,14,11,1,1,1
241,11,26,14,11,0,0,0
242,11,26,14,11,1,0,0
243,11,26,14,11,0,0,0
244,11,26,14,11,0,0,0
245,16,5,3,2,1,1,0
246,16,5,3,2,0,1,1
247,16,5,3,2,0,0,0
248,16,5,3,2,0,0,0
249,16,5,3,2,0,0,0
250,16,5,3,2,0,0,0
251,16,5,3,2,0,0,0
252,16,5,3,2,1,0,0
253,16,5,3,2,0,1,1
254,11,26,14,11,0,0,0
255,14,2,2,1,0,0,0
256,16,5,3,2,0,0,0
257,16,5,3,2,1,0,0
258,16,5,3,2,0,0,0
259,16,5,3,2,0,0,0
260,16,5,3,2,0,0,0
261,14,2,2,1,1,0,0
262,14,2,2,1,0,0,0
263,14,2,2,1,0,0,0
264,14,2,2,1,0,1,0
265,14,2,2,1,0,0,0
266,13,3,3,2,1,0,0
267,14,2,2,1,0,1,1
268,14,2,2,1,0,0,0
269,14,2,2,1,1,0,0
270,13,3,3,2,0,0,0
271,13,3,3,2,0,0,0
272,13,3,3,2,0,0,0
273,13,3,3,2,0,0,0
274,13,3,3,2,0,0,0
275,13,3,3,2,1,1,1
276,13,3,3,2,1,1,0
277,13,3,3,2,0,0,0
278,13,3,3,2,0,1,1
279,13,3,3,2,0,0,0
280,13,3,3,2,0,0,0
281,13,3,3,2,0,0,0
282,13,3,3,2,0,0,0
283,13,3,3,2,0,0,0
284,13,3,3,2,0,0,0
285,111,2,1,1,0,0,0
286,111,2,1,1,0,0,0
287,111,2,1,1,0,0,0
288,111,2,1,1,0,0,0
289,111,2,1,1,0,0,0
290,111,2,1,1,0,0,0
291,111,2,1,1,0,0,0
292,111,2,1,1,0,0,0
293,111,2,1,1,1,1,1
294,111,2,1,1,0,0,0
295,111,2,1,1,1,0,0
296,111,2,1,1,0,0,0
297,110,1,1,1,0,0,0
298,111,2,1,1,0,0,0
299,111,2,1,1,0,0,0
300,111,2,1,1,0,0,0
301,110,1,1,1,0,0,0
302,110,1,1,1,0,0,0
303,110,1,1,1,0,0,0
304,110,1,1,1,0,0,0
305,108,2,1,1,0,0,0
306,108,2,1,1,0,0,0
307,108,2,1,1,0,0,0
308,108,2,1,1,0,0,0
309,108,2,1,1,0,0,0
310,108,2,1,1,0,0,0
311,108,2,1,1,0,0,0
312,108,2,1,1,0,0,0
313,108,2,1,1,0,0,0
314,108,2,1,1,0,0,0
315,108,2,1,1,1,1,1
316,108,2,1,1,0,0,0
317,108,2,1,1,0,0,0
318,110,1,1,1,0,1,1
319,110,1,1,1,0,0,0
320,110,1,1,1,0,0,0
321,110,1,1,1,0,0,0
322,110,1,1,1,0,0,0
323,110,1,1,1,0,0,0
324,110,1,1,1,1,0,0
325,110,1,1,1,0,0,0
326,110,1,1,1,0,0,0
327,110,1,1,1,0,0,0
328,112,6,5,2,1,0,0
329,112,6,5,2,0,0,0
330,110,1,1,1,0,0,0
331,110,1,1,1,0,0,0
332,110,1,1,1,0,0,0
333,110,1,1,1,0,0,0
334,110,1,1,1,0,0,0
335,110,1,1,1,0,0,0
336,110,1,1,1,0,0,0
337,110,1,1,1,0,0,0
338,110,1,1,1,0,0,0
339,110,1,1,1,0,0,0
340,110,1,1,1,0,0,0
341,108,2,1,1,0,0,0
342,108,2,1,1,0,0,0
343,108,2,1,1,0,0,0
344,108,2,1,1,0,0,0
345,108,2,1,1,0,0,0
346,108,2,1,1,0,0,0
347,108,2,1,1,0,0,0
348,716,2,1,1,0,0,0
349,716,2,1,1,0,0,0
350,112,6,5,2,0,0,0
351,112,6,5,2,0,0,0
352,112,6,5,2,0,0,0
353,112,6,5,2,0,0,0
354,112,6,5,2,1,0,0
355,110,1,1,1,0,0,0
356,112,6,5,2,0,0,0
357,112,6,5,2,0,0,0
358,112,6,5,2,0,0,0
359,112,6,5,2,0,0,0
360,112,6,5,2,0,0,0
361,112,6,5,2,0,0,0
362,112,6,5,2,0,0,0
363,112,6,5,2,0,0,0
364,112,6,5,2,0,0,0
365,112,6,5,2,0,0,0
366,112,6,5,2,0,0,0
367,112,6,5,2,1,1,0
368,112,6,5,2,0,0,0
369,112,6,5,2,0,0,0
370,112,6,5,2,0,0,0
371,112,6,5,2,0,0,0
372,112,6,5,2,0,0,0
