trip_id,headway_secs,start_time,end_time
14940701-JUN19-MVS-BUS-Weekday-01,7200,06:00:00,09:00:00
14940702-JUN19-MVS-BUS-Weekday-01,7200,06:00:00,09:00:00
14940707-JUN19-MVS-BUS-Weekday-01,2400,06:00:00,09:00:00
14940711-JUN19-MVS-BUS-Weekday-01,2400,06:00:00,09:00:00
14940721-JUN19-MVS-BUS-Weekday-01,5400,06:00:00,09:00:00
14940733-JUN19-MVS-BUS-Weekday-01,600,06:00:00,09:00:00
14940751-JUN19-MVS-BUS-Weekday-01,600,09:00:00,15:00:00
14940833-JUN19-MVS-BUS-Weekday-01,600,06:00:00,09:00:00
14940851-JUN19-MVS-BUS-Weekday-01,600,09:00:00,15:00:00
14940958-JUN19-MVS-BUS-Weekday-01,10800,06:00:00,09:00:00
14940963-JUN19-MVS-BUS-Weekday-01,1200,06:00:00,09:00:00
14940964-JUN19-MVS-BUS-Weekday-01,1200,09:00:00,15:00:00
14940965-JUN19-MVS-BUS-Weekday-01,2273,09:00:00,15:00:00
14940971-JUN19-MVS-BUS-Weekday-01,2273,09:00:00,15:00:00
14940975-JUN19-MVS-BUS-Weekday-01,1963,06:00:00,09:00:00
14941072-JUN19-MVS-BUS-Weekday-01,1963,06:00:00,09:00:00
14941076-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14941078-JUN19-MVS-BUS-Weekday-01,1200,06:00:00,09:00:00
14941081-JUN19-MVS-BUS-Weekday-01,10800,09:00:00,15:00:00
14941085-JUN19-MVS-BUS-Weekday-01,1200,06:00:00,09:00:00
14941133-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14941148-JUN19-MVS-BUS-Weekday-01,1661,06:00:00,09:00:00
14941149-JUN19-MVS-BUS-Weekday-01,1080,06:00:00,09:00:00
14941151-JUN19-MVS-BUS-Weekday-01,1080,06:00:00,09:00:00
14941153-JUN19-MVS-BUS-Weekday-01,1393,09:00:00,15:00:00
14941159-JUN19-MVS-BUS-Weekday-01,1661,06:00:00,09:00:00
14941163-JUN19-MVS-BUS-Weekday-01,1661,09:00:00,15:00:00
14941172-JUN19-MVS-BUS-Weekday-01,1393,09:00:00,15:00:00
14941204-JUN19-MVS-BUS-Weekday-01,1661,09:00:00,15:00:00
14941356-JUN19-MVS-BUS-Weekday-01,1136,06:00:00,09:00:00
14941359-JUN19-MVS-BUS-Weekday-01,1136,06:00:00,09:00:00
14941378-JUN19-MVS-BUS-Weekday-01,7200,09:00:00,15:00:00
14941379-JUN19-MVS-BUS-Weekday-01,21600,09:00:00,15:00:00
14941401-JUN19-MVS-BUS-Weekday-01,2160,06:00:00,09:00:00
14941413-JUN19-MVS-BUS-Weekday-01,21600,09:00:00,15:00:00
14941430-JUN19-MVS-BUS-Weekday-01,1728,09:00:00,15:00:00
14941431-JUN19-MVS-BUS-Weekday-01,1661,09:00:00,15:00:00
14941433-JUN19-MVS-BUS-Weekday-01,1661,09:00:00,15:00:00
14941442-JUN19-MVS-BUS-Weekday-01,1661,06:00:00,09:00:00
14941443-JUN19-MVS-BUS-Weekday-01,1661,06:00:00,09:00:00
14941444-JUN19-MVS-BUS-Weekday-01,1661,06:00:00,09:00:00
14941446-JUN19-MVS-BUS-Weekday-01,1728,09:00:00,15:00:00
14941467-JUN19-MVS-BUS-Weekday-01,1661,06:00:00,09:00:00
14941588-JUN19-MVS-BUS-Weekday-01,2400,06:00:00,09:00:00
14941591-JUN19-MVS-BUS-Weekday-01,2273,09:00:00,15:00:00
14941592-JUN19-MVS-BUS-Weekday-01,2273,09:00:00,15:00:00
14941596-JUN19-MVS-BUS-Weekday-01,2400,06:00:00,09:00:00
14941643-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14941648-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14941652-JUN19-MVS-BUS-Weekday-01,2400,09:00:00,15:00:00
14941680-JUN19-MVS-BUS-Weekday-01,2400,09:00:00,15:00:00
14941709-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14941714-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14941727-JUN19-MVS-BUS-Weekday-01,2160,06:00:00,09:00:00
14941731-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14941907-JUN19-MVS-BUS-Weekday-01,600,06:00:00,09:00:00
14941918-JUN19-MVS-BUS-Weekday-01,583,09:00:00,15:00:00
14941970-JUN19-MVS-BUS-Weekday-01,1200,06:00:00,09:00:00
14941971-JUN19-MVS-BUS-Weekday-01,1200,06:00:00,09:00:00
14941981-JUN19-MVS-BUS-Weekday-01,600,09:00:00,15:00:00
14942192-JUN19-MVS-BUS-Weekday-01,3085,06:00:00,09:00:00
14942195-JUN19-MVS-BUS-Weekday-01,3085,06:00:00,09:00:00
14942204-JUN19-MVS-BUS-Weekday-01,10800,06:00:00,09:00:00
14942210-JUN19-MVS-BUS-Weekday-01,10800,06:00:00,09:00:00
14942652-JUN19-MVS-BUS-Weekday-01,2160,06:00:00,09:00:00
14942665-JUN19-MVS-BUS-Weekday-01,4320,06:00:00,09:00:00
14942668-JUN19-MVS-BUS-Weekday-01,4320,06:00:00,09:00:00
14942675-JUN19-MVS-BUS-Weekday-01,830,06:00:00,09:00:00
14942703-JUN19-MVS-BUS-Weekday-01,21600,09:00:00,15:00:00
14942705-JUN19-MVS-BUS-Weekday-01,21600,09:00:00,15:00:00
14942754-JUN19-MVS-BUS-Weekday-01,2160,06:00:00,09:00:00
14942759-JUN19-MVS-BUS-Weekday-01,2160,06:00:00,09:00:00
14942763-JUN19-MVS-BUS-Weekday-01,2400,09:00:00,15:00:00
14942793-JUN19-MVS-BUS-Weekday-01,2880,09:00:00,15:00:00
14942794-JUN19-MVS-BUS-Weekday-01,3085,06:00:00,09:00:00
14942800-JUN19-MVS-BUS-Weekday-01,2880,09:00:00,15:00:00
14942813-JUN19-MVS-BUS-Weekday-01,3085,06:00:00,09:00:00
14942848-JUN19-MVS-BUS-Weekday-01,2400,09:00:00,15:00:00
14942889-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14942890-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14942926-JUN19-MVS-BUS-Weekday-01,3085,06:00:00,09:00:00
14942931-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14942965-JUN19-MVS-BUS-Weekday-01,3085,06:00:00,09:00:00
14942968-JUN19-MVS-BUS-Weekday-01,5400,06:00:00,09:00:00
14942980-JUN19-MVS-BUS-Weekday-01,981,06:00:00,09:00:00
14942987-JUN19-MVS-BUS-Weekday-01,981,06:00:00,09:00:00
14942996-JUN19-MVS-BUS-Weekday-01,1080,09:00:00,15:00:00
14942999-JUN19-MVS-BUS-Weekday-01,1080,09:00:00,15:00:00
14943102-JUN19-MVS-BUS-Weekday-01,1136,09:00:00,15:00:00
14943103-JUN19-MVS-BUS-Weekday-01,1028,06:00:00,09:00:00
14943105-JUN19-MVS-BUS-Weekday-01,1028,06:00:00,09:00:00
14943110-JUN19-MVS-BUS-Weekday-01,1136,09:00:00,15:00:00
14943218-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14943226-JUN19-MVS-BUS-Weekday-01,2160,06:00:00,09:00:00
14943231-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14943250-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14943256-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14943285-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14943288-JUN19-MVS-BUS-Weekday-01,2160,09:00:00,15:00:00
14943291-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14943298-JUN19-MVS-BUS-Weekday-01,2160,09:00:00,15:00:00
14943335-JUN19-MVS-BUS-Weekday-01,1661,06:00:00,09:00:00
14943336-JUN19-MVS-BUS-Weekday-01,1661,06:00:00,09:00:00
14943342-JUN19-MVS-BUS-Weekday-01,2400,09:00:00,15:00:00
14943345-JUN19-MVS-BUS-Weekday-01,2400,09:00:00,15:00:00
14943411-JUN19-MVS-BUS-Weekday-01,5400,06:00:00,09:00:00
14943414-JUN19-MVS-BUS-Weekday-01,4320,06:00:00,09:00:00
14943415-JUN19-MVS-BUS-Weekday-01,5400,06:00:00,09:00:00
14943418-JUN19-MVS-BUS-Weekday-01,4320,06:00:00,09:00:00
14943551-JUN19-MVS-BUS-Weekday-01,1661,06:00:00,09:00:00
14943560-JUN19-MVS-BUS-Weekday-01,1661,06:00:00,09:00:00
14943561-JUN19-MVS-BUS-Weekday-01,2160,09:00:00,15:00:00
14943565-JUN19-MVS-BUS-Weekday-01,2160,09:00:00,15:00:00
14943611-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14943614-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14943622-JUN19-MVS-BUS-Weekday-01,2160,09:00:00,15:00:00
14943627-JUN19-MVS-BUS-Weekday-01,2160,09:00:00,15:00:00
14943736-JUN19-MVS-BUS-Weekday-01,5400,06:00:00,09:00:00
14943738-JUN19-MVS-BUS-Weekday-01,5400,06:00:00,09:00:00
14943740-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14943742-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14943762-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14943763-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14943777-JUN19-MVS-BUS-Weekday-01,4320,06:00:00,09:00:00
14943780-JUN19-MVS-BUS-Weekday-01,4320,06:00:00,09:00:00
14943793-JUN19-MVS-BUS-Weekday-01,5400,06:00:00,09:00:00
14943795-JUN19-MVS-BUS-Weekday-01,4320,09:00:00,15:00:00
14943802-JUN19-MVS-BUS-Weekday-01,5400,06:00:00,09:00:00
14943804-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14943816-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14943818-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14943829-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14943841-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14943845-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14943869-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14943878-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14943912-JUN19-MVS-BUS-Weekday-01,21600,09:00:00,15:00:00
14943919-JUN19-MVS-BUS-Weekday-01,1200,06:00:00,09:00:00
14943922-JUN19-MVS-BUS-Weekday-01,1200,06:00:00,09:00:00
14944006-JUN19-MVS-BUS-Weekday-01,3600,06:00:00,09:00:00
14944012-JUN19-MVS-BUS-Weekday-01,1107,09:00:00,15:00:00
14944018-JUN19-MVS-BUS-Weekday-01,1440,06:00:00,09:00:00
14944019-JUN19-MVS-BUS-Weekday-01,1053,09:00:00,15:00:00
14944022-JUN19-MVS-BUS-Weekday-01,1542,06:00:00,09:00:00
14944025-JUN19-MVS-BUS-Weekday-01,1053,09:00:00,15:00:00
14944062-JUN19-MVS-BUS-Weekday-01,1440,06:00:00,09:00:00
14944136-JUN19-MVS-BUS-Weekday-01,1107,09:00:00,15:00:00
14944202-JUN19-MVS-BUS-Weekday-01,1542,06:00:00,09:00:00
14944260-JUN19-MVS-BUS-Weekday-01,1542,06:00:00,09:00:00
14944262-JUN19-MVS-BUS-Weekday-01,1542,06:00:00,09:00:00
14944288-JUN19-MVS-BUS-Weekday-01,21600,09:00:00,15:00:00
14944295-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14944303-JUN19-MVS-BUS-Weekday-01,3085,06:00:00,09:00:00
14944307-JUN19-MVS-BUS-Weekday-01,3085,06:00:00,09:00:00
14944320-JUN19-MVS-BUS-Weekday-01,3600,06:00:00,09:00:00
14944321-JUN19-MVS-BUS-Weekday-01,3600,06:00:00,09:00:00
14944323-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14944324-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14944326-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14944334-JUN19-MVS-BUS-Weekday-01,3600,06:00:00,09:00:00
14944346-JUN19-MVS-BUS-Weekday-01,3600,06:00:00,09:00:00
14944360-JUN19-MVS-BUS-Weekday-01,3600,09:00:00,15:00:00
14944379-JUN19-MVS-BUS-Weekday-01,1542,06:00:00,09:00:00
14944386-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14944413-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14944416-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14944537-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14944538-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14944545-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14944573-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14944605-JUN19-MVS-BUS-Weekday-01,7200,06:00:00,09:00:00
14944606-JUN19-MVS-BUS-Weekday-01,7200,06:00:00,09:00:00
14944612-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14944613-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14944620-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14944632-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14944653-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14944657-JUN19-MVS-BUS-Weekday-01,1878,09:00:00,15:00:00
14944661-JUN19-MVS-BUS-Weekday-01,1800,06:00:00,09:00:00
14944663-JUN19-MVS-BUS-Weekday-01,1878,09:00:00,15:00:00
14944744-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14944760-JUN19-MVS-BUS-Weekday-01,1542,06:00:00,09:00:00
14944787-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14944791-JUN19-MVS-BUS-Weekday-01,3323,09:00:00,15:00:00
14944794-JUN19-MVS-BUS-Weekday-01,3323,09:00:00,15:00:00
14944828-JUN19-MVS-BUS-Weekday-01,3323,09:00:00,15:00:00
14944830-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14944835-JUN19-MVS-BUS-Weekday-01,3323,09:00:00,15:00:00
14944856-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14944858-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14944871-JUN19-MVS-BUS-Weekday-01,2700,06:00:00,09:00:00
14944904-JUN19-MVS-BUS-Weekday-01,1878,09:00:00,15:00:00
14944905-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14944917-JUN19-MVS-BUS-Weekday-01,3085,06:00:00,09:00:00
14944918-JUN19-MVS-BUS-Weekday-01,1963,06:00:00,09:00:00
14944920-JUN19-MVS-BUS-Weekday-01,3085,06:00:00,09:00:00
14944943-JUN19-MVS-BUS-Weekday-01,1878,09:00:00,15:00:00
14944946-JUN19-MVS-BUS-Weekday-01,1963,06:00:00,09:00:00
14944958-JUN19-MVS-BUS-Weekday-01,1800,09:00:00,15:00:00
14945324-JUN19-MVS-BUS-Weekday-01,10800,06:00:00,09:00:00
14945327-JUN19-MVS-BUS-Weekday-01,10800,06:00:00,09:00:00
14945331-JUN19-MVS-BUS-Weekday-01,10800,06:00:00,09:00:00
