route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
46-110,MAR19-MVS-BUS-Weekday-01,14447646-MAR19-MVS-BUS-Weekday-01,Westbound 46C 42St-46St/Eden-Vernon/Via Bryant,1,1529,460002,1
46-110,MAR19-MVS-BUS-Weekday-01,14447648-MAR19-MVS-BUS-Weekday-01,Westbound 46C 42St-46St/Eden-Vernon/Via Bryant,1,1530,460002,1
46-110,MAR19-MVS-BUS-Weekday-01,14447671-MAR19-MVS-BUS-Weekday-01,Eastbound 46E 46St-42St/St. Paul-7St/Via Bryant,0,1530,460001,1
46-110,MAR19-MVS-BUS-Weekday-01,14447675-MAR19-MVS-BUS-Weekday-01,Eastbound 46E 46St-42St/St. Paul-7St/Via Bryant,0,1527,460001,1
21-110,MAR19-MVS-BUS-Weekday-01,14448602-MAR19-MVS-BUS-Weekday-01,Eastbound 21A  Selby-Lake / St Paul,0,1425,210005,1
21-110,MAR19-MVS-BUS-Weekday-01,14448608-MAR19-MVS-BUS-Weekday-01,Eastbound 21A  Selby-Lake / St Paul,0,1426,210005,1
21-110,MAR19-MVS-BUS-Weekday-01,14448609-MAR19-MVS-BUS-Weekday-01,Westbound 21  Selby-Lake/ Uptown,1,1418,210004,1
21-110,MAR19-MVS-BUS-Weekday-01,14448612-MAR19-MVS-BUS-Weekday-01,Westbound 21  Selby-Lake/ Uptown,1,1418,210004,1
70-110,MAR19-MVS-BUS-Weekday-01,14448942-MAR19-MVS-BUS-Weekday-01,Eastbound 70S  Burns Av / Sunray,0,1679,700004,1
70-110,MAR19-MVS-BUS-Weekday-01,14448943-MAR19-MVS-BUS-Weekday-01,Westbound 70B  St. Clair Av / Highland,1,1679,700003,1
70-110,MAR19-MVS-BUS-Weekday-01,14448945-MAR19-MVS-BUS-Weekday-01,Westbound 70  Downtown,1,1679,700001,1
70-110,MAR19-MVS-BUS-Weekday-01,14448946-MAR19-MVS-BUS-Weekday-01,Eastbound 70S  Burns Av / Sunray,0,1679,700009,1
67-110,MAR19-MVS-BUS-Weekday-01,14449001-MAR19-MVS-BUS-Weekday-01,Westbound 67C Minnehaha Av / Franklin-Hiaw,1,1656,670001,1
67-110,MAR19-MVS-BUS-Weekday-01,14449008-MAR19-MVS-BUS-Weekday-01,Westbound 67C Minnehaha Av / Franklin-Hiaw,1,1657,670001,1
67-110,MAR19-MVS-BUS-Weekday-01,14449035-MAR19-MVS-BUS-Weekday-01,Eastbound 67 Minnehaha Av / Dtwn St Paul,0,1657,670007,1
67-110,MAR19-MVS-BUS-Weekday-01,14449038-MAR19-MVS-BUS-Weekday-01,Eastbound 67 Minnehaha Av / Dtwn St Paul,0,1659,670007,1
84-110,MAR19-MVS-BUS-Weekday-01,14449158-MAR19-MVS-BUS-Weekday-01,Northbound 84 Pascal / Almond,0,31522,840002,1
84-110,MAR19-MVS-BUS-Weekday-01,14449162-MAR19-MVS-BUS-Weekday-01,Northbound 84 Pascal / Almond,0,31522,840002,1
84-110,MAR19-MVS-BUS-Weekday-01,14449185-MAR19-MVS-BUS-Weekday-01,Southbound 84 Snelling Av / Davern / Shepard Rd,1,31520,840001,1
84-110,MAR19-MVS-BUS-Weekday-01,14449191-MAR19-MVS-BUS-Weekday-01,Southbound 84 Snelling Av / Davern / Shepard Rd,1,31520,840001,1
16-110,MAR19-MVS-BUS-Weekday-01,14449219-MAR19-MVS-BUS-Weekday-01,Eastbound 16 University Av/Dwtn St Paul/UnionDepot,0,31501,160001,1
16-110,MAR19-MVS-BUS-Weekday-01,14449220-MAR19-MVS-BUS-Weekday-01,Westbound 16 Fairview / University,1,31500,160002,1
16-110,MAR19-MVS-BUS-Weekday-01,14449227-MAR19-MVS-BUS-Weekday-01,Eastbound 16 University Av/Dwtn St Paul/UnionDepot,0,31501,160001,1
16-110,MAR19-MVS-BUS-Weekday-01,14449255-MAR19-MVS-BUS-Weekday-01,Westbound 16 Fairview / University,1,31500,160002,1
23-110,MAR19-MVS-BUS-Weekday-01,14449591-MAR19-MVS-BUS-Weekday-01,Eastbound 23C  38th Street / Vets Home,0,1491,230003,1
23-110,MAR19-MVS-BUS-Weekday-01,14449626-MAR19-MVS-BUS-Weekday-01,Westbound 23  38th Street / Uptown,1,1491,230004,1
23-110,MAR19-MVS-BUS-Weekday-01,14449627-MAR19-MVS-BUS-Weekday-01,Westbound 23  38th Street / Uptown,1,1491,230004,1
