route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,trip_destination,trip_short_name,trip_route_name,pub_dir_id,rm_block_id
46-110,MAR19-MVS-BUS-Weekday-01,14447646-MAR19-MVS-BUS-Weekday-01,Westbound 46C 42St-46St/Eden-Vernon/Via Bryant,1,1529,460002,1.0,,,,,
46-110,MAR19-MVS-BUS-Weekday-01,14447648-MAR19-MVS-BUS-Weekday-01,Westbound 46C 42St-46St/Eden-Vernon/Via Bryant,1,1530,460002,1.0,,,,,
46-110,MAR19-MVS-BUS-Weekday-01,14447671-MAR19-MVS-BUS-Weekday-01,Eastbound 46E 46St-42St/St. Paul-7St/Via Bryant,0,1530,460001,1.0,,,,,
46-110,MAR19-MVS-BUS-Weekday-01,14447675-MAR19-MVS-BUS-Weekday-01,Eastbound 46E 46St-42St/St. Paul-7St/Via Bryant,0,1527,460001,1.0,,,,,
850-110,MAR19-MVS-BUS-Weekday-01,14448502-MAR19-MVS-BUS-Weekday-01,Northbound 850F  Express / Foley P&R,0,2275,8500004,1.0,,,,,
850-110,MAR19-MVS-BUS-Weekday-01,14448509-MAR19-MVS-BUS-Weekday-01,Southbound 850  Express / Foley P&R / Dntn Mpls,1,2274,8500006,1.0,,,,,
768-110,MAR19-MVS-BUS-Weekday-01,14448529-MAR19-MVS-BUS-Weekday-01,Northbound 768 Express / Noble P&R,0,2185,7680002,1.0,,,,,
768-110,MAR19-MVS-BUS-Weekday-01,14448549-MAR19-MVS-BUS-Weekday-01,Southbound 768 Express / Downtown,1,2142,7680001,1.0,,,,,
768-110,MAR19-MVS-BUS-Weekday-01,14448564-MAR19-MVS-BUS-Weekday-01,Southbound 768 Express / Downtown,1,1262,7680001,1.0,,,,,
785-110,MAR19-MVS-BUS-Weekday-01,14448576-MAR19-MVS-BUS-Weekday-01,Southbound 785  Trip 4/Maple Grove/To Mpls,1,2241,7850002,1.0,,,,,
780-110,MAR19-MVS-BUS-Weekday-01,14448596-MAR19-MVS-BUS-Weekday-01,Southbound 780  Trip 1/Maple Grove/To Mpls,1,2191,7800001,1.0,,,,,
21-110,MAR19-MVS-BUS-Weekday-01,14448602-MAR19-MVS-BUS-Weekday-01,Eastbound 21A  Selby-Lake / St Paul,0,1425,210005,1.0,,,,,
