route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,trip_destination,trip_short_name,trip_route_name,pub_dir_id,rm_block_id
452-111,JUN19-MVS-BUS-Weekday-01,14940701-JUN19-MVS-BUS-Weekday-01,Westbound 452  Express / Minneapolis,1,1874,4520004,1.0,,,,,
452-111,JUN19-MVS-BUS-Weekday-01,14940702-JUN19-MVS-BUS-Weekday-01,Westbound 452  Express / Minneapolis,1,1876,4520002,1.0,,,,,
134-111,JUN19-MVS-BUS-Weekday-01,14940707-JUN19-MVS-BUS-Weekday-01,Westbound 134  Ltd Stop / Cleveland / Minneapolis,1,1696,1340002,1.0,,,,,
134-111,JUN19-MVS-BUS-Weekday-01,14940711-JUN19-MVS-BUS-Weekday-01,Westbound 134  Ltd Stop / Cleveland / Minneapolis,1,1699,1340004,1.0,,,,,
134-111,JUN19-MVS-BUS-Weekday-01,14940721-JUN19-MVS-BUS-Weekday-01,Eastbound 134A  Ltd Stop / Cleveland / Ford Pkwy,0,1699,1340006,1.0,,,,,
921-111,JUN19-MVS-BUS-Weekday-01,14940733-JUN19-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,2288,9210001,1.0,,,,,
921-111,JUN19-MVS-BUS-Weekday-01,14940751-JUN19-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,0,2286,9210001,1.0,,,,,
921-111,JUN19-MVS-BUS-Weekday-01,14940833-JUN19-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,2285,9210002,1.0,,,,,
921-111,JUN19-MVS-BUS-Weekday-01,14940851-JUN19-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1,2284,9210002,1.0,,,,,
252-111,JUN19-MVS-BUS-Weekday-01,14940958-JUN19-MVS-BUS-Weekday-01,Southbound 252  Express / U of M,1,1761,2520001,1.0,,,,,
63-111,JUN19-MVS-BUS-Weekday-01,14940963-JUN19-MVS-BUS-Weekday-01,Eastbound 63K E 3rd St / Lower Afton / Via Sunray,0,1562,630009,1.0,,,,,
63-111,JUN19-MVS-BUS-Weekday-01,14940964-JUN19-MVS-BUS-Weekday-01,Westbound 63B Grand Ave/Westgate Sta,1,1556,630010,1.0,,,,,
63-111,JUN19-MVS-BUS-Weekday-01,14940965-JUN19-MVS-BUS-Weekday-01,Eastbound 63K E 3rd St / Lower Afton / Via Sunray,0,1556,630009,1.0,,,,,
63-111,JUN19-MVS-BUS-Weekday-01,14940971-JUN19-MVS-BUS-Weekday-01,Eastbound 63K  E 3rd St / Londin Ln / Via Sunray,0,1563,630011,1.0,,,,,
63-111,JUN19-MVS-BUS-Weekday-01,14940975-JUN19-MVS-BUS-Weekday-01,Westbound 63B Grand Ave/Westgate Sta,1,1557,630010,1.0,,,,,
63-111,JUN19-MVS-BUS-Weekday-01,14941072-JUN19-MVS-BUS-Weekday-01,Westbound 63  Downtown,1,1561,630006,1.0,,,,,
250-111,JUN19-MVS-BUS-Weekday-01,14941076-JUN19-MVS-BUS-Weekday-01,Northbound 250M  Express / MedTronic / Wells Fargo,0,1730,2500011,1.0,,,,,
250-111,JUN19-MVS-BUS-Weekday-01,14941078-JUN19-MVS-BUS-Weekday-01,Southbound 250  Express / Co Rd H P&R / Downtown,1,1122,2500001,1.0,,,,,
250-111,JUN19-MVS-BUS-Weekday-01,14941081-JUN19-MVS-BUS-Weekday-01,Northbound 250C  Express / Co Rd H P&R / 95Av P&R,0,1248,2500008,1.0,,,,,
250-111,JUN19-MVS-BUS-Weekday-01,14941085-JUN19-MVS-BUS-Weekday-01,Southbound 250  Express / Downtown,1,1744,2500007,1.0,,,,,
135-111,JUN19-MVS-BUS-Weekday-01,14941133-JUN19-MVS-BUS-Weekday-01,Northbound 135  Ltd Stop / Downtown,0,1009,1350001,1.0,,,,,
3-111,JUN19-MVS-BUS-Weekday-01,14941148-JUN19-MVS-BUS-Weekday-01,Eastbound 3B Como Av/St Paul - Depot/Via Front,0,1018,30009,1.0,,,,,
3-111,JUN19-MVS-BUS-Weekday-01,14941149-JUN19-MVS-BUS-Weekday-01,Westbound 3 Dwtn Mpls / Target Field,1,1037,30002,1.0,,,,,
3-111,JUN19-MVS-BUS-Weekday-01,14941151-JUN19-MVS-BUS-Weekday-01,Westbound 3B Como-Front/Dwtn Mpls/Target Field,1,1017,30014,1.0,,,,,
3-111,JUN19-MVS-BUS-Weekday-01,14941153-JUN19-MVS-BUS-Weekday-01,Westbound 3B Como-Front/Dwtn Mpls/Target Field,1,1017,30014,1.0,,,,,
