,abmid,ssid_edge
0,0.0,37ebb179f111320ad0ee71b94edc47fd
1,1.0,365dbd7876b592f042a6692ccc5840da
2,2.0,70b0163517615bf13ead5aaf50febb6c
3,3.0,b325ea38cc3107b7c0c96c68940a4180
4,4.0,420ca49d6e87ba3ba3bb523c10a99415
5,5.0,cfc7c9eb1760197c768523783281f557
6,6.0,edbf15263b62fddb63c12ba47f8e9c3a
7,7.0,3fe3c9b4db62b1ce11c6fa912b678bc1
8,8.0,907d07f1ed660c34654bc248302132c3
9,9.0,eaf53a4905a7e2b449c5be8b387b868a
10,10.0,ec5015def49f3b304a44d02f88956e97
11,11.0,751dd1b75280c5abe1a901d9c835341b
12,12.0,a9898a457ef205bc2f860b3501545d70
13,13.0,a68bcb2807e226b6db42d88bed3b0443
14,14.0,f22164c132fa8b0cee7058230db581fe
15,15.0,47c789937b366eb5e460bbc3e49b9659
16,16.0,32d0990ea029e5b86addd2b4fc7c5140
17,17.0,e136ce6685bc667021a106aeee0b57f0
18,18.0,8c495fb77da5333eda385976037c9aba
19,19.0,5ca18bb2109c33fe04842c5eee6cd5a0
20,20.0,b6345e7a2e3d5b5006b0bd2e02546cd0
21,21.0,154e7e443eacb680844ae0bd77492ccb
22,22.0,c68236cea2ee638a59483ec58aafd76e
23,23.0,f5ce12bc4ed29fadd03941ea5896430b
24,24.0,cfab9fd74dd735327316f39c9bda8fee
25,25.0,1c21b4dc079da12ac7bf01a9e19e2f1e
26,26.0,c2e5a14c3c68cc4ce858c8863779c5b2
27,27.0,bc95e53e516bf3cf1b4433a0c62f7b78
28,28.0,8467b069dd9241a6b89828fe377c5c41
29,29.0,e30c74d4eb14f97c1602444156a19afb
30,30.0,fcfe348eae592e0b96e63fff6bb13090
31,31.0,d1930dcca27ad9c28962e406d256186e
32,32.0,aa8d49a3dd97070bc5a7eb7d2fb5eb25
33,33.0,e5a8b8a2167012c53f7d8ac2c76e3d63
34,34.0,6a7318723e86bc8a86186059712fa045
35,35.0,b84f66522f5446d5ed365a8ad95b37f5
36,36.0,b8cccfd7d264de6c004923765b64dd05
37,37.0,d5122a34a26b45b4f69ecbb0cda0d5e1
38,38.0,5275da84bbaa6ee5e88d66a5205690cf
39,39.0,c96ff6bc541da98b13f235019e6cc609
40,40.0,0eef3629cad9b2ec07cd89467b30357b
41,41.0,bc73c93b57d43eb8a6cd47aa43892a6f
42,42.0,3263b69ea57cf3588bc27c42388da1f2
43,43.0,af3ab248c34ca79fc5f5058425b2ba53
44,44.0,9b4ce61bd42bbf1fd51490545c8603c7
45,45.0,6dc47b973770919501f38fbb9b6333bb
46,46.0,e5049ffdfc13e98059b08f3e51bf339d
47,47.0,69d86509e493e927a10376459305724e
48,48.0,e244fa884467e42cdd57a95b0c1c36e5
49,49.0,ee50ece73a720c15d7bf1fcfe11c7685
50,50.0,aba41428b6e4b2e1583f0df4ff272e10
51,51.0,2afd016982fe012b94d153b79ee4639d
52,52.0,a18a1e4338007fd72c24b23135fb5c87
53,53.0,7952d39ea52920f4fcc98bd0d221e633
54,54.0,ffca5a4bf1852732fa3a393d06ca67b4
55,55.0,b730ae5839362cfe47fb1bad83529dfb
56,56.0,3e471e2c4dd29e6d8282b36c8cb6d665
57,57.0,362c57890c1f479460aee580bec2b2c0
58,58.0,c5d3c0140c19c2e16a4f04e867f5b720
59,59.0,05b24a038436c67f22b0ab38b2074e8f
60,60.0,8483dbff296ecc583e6ebf45664d5af3
61,61.0,a488b96accd73ead45464a1f52547760
62,62.0,a488b96accd73ead45464a1f52547760
63,63.0,19d39e41dea675a3bcc9fbc5fe7cba5f
64,64.0,ba284aef6bf3650bba0f6ccb0797d6bc
65,65.0,375c6d03a83ab4a1618c11fcc09e6088
66,66.0,9a553cbd1413cf435274b571d26ce4ca
67,67.0,47fa60b976d878ef2caf1e02660a1a42
68,68.0,0071dd939cf8fdd8c8970f161da212c3
69,69.0,d235b13b8cbc99ac62993118d6f443b4
70,70.0,c9884f835b5889b7f695f89616794ac5
71,71.0,af0a2cff80ec4775dda109b3a97f7143
72,72.0,0d562d64e905ff7e3684108723016564
73,73.0,2656dfaff05ea2681fc8b11503b27e93
74,74.0,ffd6e356bff2260ea6cd0e64ffdf634a
75,75.0,e7db0de38aee77160653e66b30a95941
76,76.0,04dc21779002af7de736bafcadb46ba8
77,77.0,b1b3389ba67d4d4cbb7876ea93388751
78,78.0,2c1b838786f5b03e4b68f4cd7e582314
79,79.0,e876d5fe62adb2ee2de21d46fdc1e6ce
80,80.0,fe54f6e1b75ab96296645c922b3ef675
81,81.0,52c745b5fd26bca6e7c7e2553f404855
82,82.0,2d0a0134b53ab4392cfa14fa00530925
83,83.0,00f1633c27f0faf7d6655aeb11f3d715
84,84.0,4828c97d08f569cbbb0888f978b8e8fa
85,85.0,34132350d5aaee55d1e48e41e05bfcff
86,86.0,0091d1bfbe456a5c9d52fd7dd6bdf92a
87,87.0,6fc81f87b018feccf2dac1e0c5ad884c
88,88.0,2d1efdd93eb9b77356a27f19c21edf4c
89,89.0,fab5a5b07d7d9830dcf44647a6ff4fe3
90,90.0,f3b47eb836666ef37e8d0a033df2e8da
91,91.0,0120960baf6ef7244b92fc2b9d647599
92,92.0,c5ea9cdde2553ffe91dad109c26e2e0e
93,93.0,4de9a99ddef4969f6afc5b40dddd5a19
94,94.0,17de82225915b22d6fe8fce66e74d2b4
95,95.0,871652ed62091393dfd4c7b2a39d9bfd
96,96.0,30d28c6adcfda2bde424773a5566028b
97,97.0,2464f588b3fcc11b10fc6b2e18a276a5
98,98.0,c639c55693041f4301b22ea2416e5323
99,99.0,9e154d880012e05b57fff7649cadc955
100,100.0,4d59f421304aeefa97571fc17a896ff5
101,101.0,5e4d275b0e4b1814e032fce45067dc6a
102,102.0,3036bbce560223526006cb301b4e5e59
103,103.0,65854571c6fcf0c4ca48a1efae33dae1
104,104.0,be7a80f1c51b4074ddd9349e055cfb11
105,105.0,19dc2673d4e0413bf3f844b9436e7333
106,106.0,65a98fe1af34b0fe1762c2574169106f
107,107.0,bfc61223c6b1ae87b61e2a0d125259c1
108,108.0,34b41a89802f552ee55a4a9c01e9b226
109,109.0,cf311c5f6137a619eefc4f102b498560
110,110.0,79c41ec967f7cbf7749c3ccf95a17e4a
