old_N,new_N
3191,148860
3328,161975
3383,133125
3430,169632
3443,137214
3638,31279
3675,149506
3768,151748
3840,100852
3928,11737
4085,20386
4104,57824
4180,39630
4255,52723
4327,142727
4369,85783
4407,81934
4415,39506
4461,79288
4511,98260
4746,163896
4833,169525
4937,92650
5090,167842
5122,82978
5261,96406
5298,152014
5364,117441
5610,77900
5629,63710
5638,139051
5646,169627
5943,153166
6246,78590
6409,86557
6979,114182
7543,50357
7604,28886
7932,161116
7952,44706
7980,58260
8284,3527
8353,36274
8433,65738
8551,3906
8704,38288
8869,36506
9649,78050
9781,28697
9949,62509
9950,58981
9997,71647
10006,49593
10246,54737
10252,42425
10271,99611
10634,108996
10757,87844
11458,65300
17502,64480
17607,56417
17671,100488
17786,13802
17834,304487
17911,114207
18155,31606
18322,55624
18809,14035
18832,152331
18841,118249
18860,65819
19035,72458
19048,114151
19278,14811
19288,43406
19358,113423
19759,160725
19763,59432
19806,71590
19819,4624
19827,103585
19833,136490
19838,59496
19914,119911
19915,9643
19929,3352
19986,13776
27636,162222
27647,162024
27885,129656
30076,161040
30171,22734
30737,26717
31332,22796
31404,34089
31511,69943
31656,12019
34410,78164
34540,29976
35419,171127
35461,117854
40315,55389
40351,95085
40661,15948
40735,3640
50485,55734
51568,131140
54608,67481
